Arr_rate number Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.000277778 3600000 522958 8715 1 2 3 1 3 10 9093,9413 378 1 3-1
0.000277778 3600000 529822 8830 1 1 10 11 60 1 9935,10136,10140 0 1 10-11
0.000277778 3600000 529901 8831 1 1 15 10 60 1 8840,8864,10079 0 6 15-16-17-19-18-11-10
0.000277778 3600000 530968 8849 1 1 13 5 60 1 9479,9687,10148 0 7 13-12-14-8-11-10-4-5
0.000277778 3600000 533330 8888 1 1 13 4 60 1 9296,9578,9817 0 6 13-12-14-8-7-3-4
0.000277778 3600000 534216 8903 1 2 16 9 6 10 9240,10149 337 5 16-17-14-8-7-9
0.000277778 3600000 537196 8953 1 1 4 11 60 1 9639,10169,10251 0 2 4-10-11
0.000277778 3600000 538742 8979 1 1 19 1 60 1 9693,9754,10080 0 5 19-17-14-8-7-1
0.000277778 3600000 542390 9039 1 2 3 11 2 10 9918,10335 879 3 3-4-10-11
0.000277778 3600000 543956 9065 1 1 18 2 60 1 9234,9353,10142 0 4 18-11-10-4-2
0.000277778 3600000 544927 9082 1 1 2 8 60 1 9312,10059,10434 0 2 2-7-8
0.000277778 3600000 549250 9154 1 2 4 8 16 10 9794,10220 640 3 4-10-11-8
0.000277778 3600000 551463 9191 1 2 11 15 55 10 9752,9988 562 5 11-18-19-17-16-15
0.000277778 3600000 551483 9191 1 2 18 16 39 10 9930,10431 739 3 18-19-17-16
0.000277778 3600000 556190 9269 1 1 13 8 60 1 9913,9935,10548 0 3 13-12-14-8
0.000277778 3600000 564687 9411 1 1 6 17 60 1 9711,9750,10771 0 5 6-3-7-8-14-17
0.000277778 3600000 569465 9491 1 2 19 13 3 10 9794,10288 317 4 19-17-16-15-13
0.000277778 3600000 575359 9589 1 1 11 9 60 1 9616,10207,10803 0 2 11-10-9
0.000277778 3600000 577681 9628 1 2 13 18 33 10 10364,10795 736 5 13-15-16-17-19-18
0.000277778 3600000 578515 9641 1 2 4 2 35 10 9821,10352 180 1 4-2
0.000277778 3600000 581101 9685 1 2 9 13 25 10 10265,10857 580 5 9-7-8-14-12-13
0.000277778 3600000 581279 9687 1 1 10 5 60 1 9921,10081,10107 0 2 10-4-5
0.000277778 3600000 588304 9805 1 2 15 3 10 10 10476,10528 671 5 15-12-14-8-7-3
0.000277778 3600000 592957 9882 1 1 12 6 60 1 10522,10751,11051 0 5 12-14-8-7-3-6
0.000277778 3600000 596662 9944 1 2 5 6 7 10 10432,11024 488 2 5-4-6
0.000277778 3600000 604022 10067 1 1 5 3 60 1 10563,10833,10844 0 2 5-4-3
0.000277778 3600000 606969 10116 1 2 16 11 5 10 10254,11421 138 4 16-17-19-18-11
0.000277778 3600000 607763 10129 1 1 16 13 60 1 10224,10697,11158 0 2 16-15-13
0.000277778 3600000 608904 10148 1 1 16 2 60 1 10379,10481,11484 1 7 16-17-19-18-11-10-4-2
0.000277778 3600000 621434 10357 1 1 8 11 60 1 10379,10595,11448 0 1 8-11
0.000277778 3600000 625122 10418 1 2 1 10 5 10 10856,11246 438 3 1-7-9-10
0.000277778 3600000 626785 10446 1 1 9 13 60 1 10507,10563,11505 0 5 9-7-8-14-12-13
0.000277778 3600000 627791 10463 1 1 17 12 60 1 10788,11201,11454 0 2 17-14-12
0.000277778 3600000 631756 10529 1 1 4 11 60 1 11461,11782,11813 0 2 4-10-11
0.000277778 3600000 633056 10550 1 1 16 14 60 1 10575,10677,11295 0 2 16-17-14
0.000277778 3600000 640638 10677 1 2 18 5 2 10 11741,11944 1064 4 18-11-10-4-5
0.000277778 3600000 642545 10709 1 1 11 14 60 1 11349,11500,11575 0 2 11-8-14
0.000277778 3600000 647288 10788 1 2 2 9 3 10 11224,11255 436 2 2-7-9
0.000277778 3600000 649853 10830 1 1 13 9 60 1 10842,11882,11960 1 5 13-12-14-8-7-9
0.000277778 3600000 652606 10876 1 2 4 2 28 10 11459,11857 583 1 4-2
0.000277778 3600000 653481 10891 1 1 17 10 60 1 11472,11489,11614 0 4 17-14-8-11-10
0.000277778 3600000 653527 10892 1 1 11 10 60 1 11381,11528,12059 0 1 11-10
0.000277778 3600000 654096 10901 1 1 16 15 60 1 10904,12041,12042 0 1 16-15
